GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons CSV,org.apache.commons.csv,ExtendedBufferedReader,105,41,19,3,25,12,14,4,4,3
Commons CSV,org.apache.commons.csv,CSVRecord,62,0,6,0,14,0,11,0,8,0
Commons CSV,org.apache.commons.csv,Token,24,0,0,0,7,0,2,0,2,0
Commons CSV,org.apache.commons.csv,CSVLexer,321,0,64,0,79,0,36,0,4,0
Commons CSV,org.apache.commons.csv,Lexer,175,0,40,0,37,0,33,0,11,0
Commons CSV,org.apache.commons.csv,Token.Type,44,0,0,0,5,0,1,0,1,0
Commons CSV,org.apache.commons.csv,CSVParser,208,0,23,0,49,0,21,0,8,0
Commons CSV,org.apache.commons.csv,CSVFormat,498,0,42,0,95,0,47,0,26,0
Commons CSV,org.apache.commons.csv,CSVParser.new Iterator() {...},54,0,8,0,15,0,9,0,5,0
Commons CSV,org.apache.commons.csv,CSVPrinter,445,0,87,0,118,0,55,0,11,0
